3.6828 	WARNING 	Monitor specification not found. Creating a temporary one...
3.6860 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [640, 480]. Using actual size
0.0003 	EXP 	CLI args ['psychopy/hampton2006.py'], ordering seed 54, task seed 43
33.5980 	DATA 	Keypress: equal
33.6144 	EXP 	Fixation cross
34.5863 	DATA 	Keypress: equal
35.5862 	DATA 	Keypress: equal
35.6326 	EXP 	stim presentation for duration 2.000. feedback duration 4.000
36.5866 	DATA 	Keypress: equal
37.0980 	DATA 	Keypress: 2
37.1164 	EXP 	stim select
37.5861 	DATA 	Keypress: equal
37.6327 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=1
37.6502 	EXP 	feedback
38.5860 	DATA 	Keypress: equal
39.5861 	DATA 	Keypress: equal
40.5864 	DATA 	Keypress: equal
41.5865 	DATA 	Keypress: equal
41.6692 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
42.2935 	DATA 	Keypress: 1
42.3023 	EXP 	stim select
42.5861 	DATA 	Keypress: equal
43.5859 	DATA 	Keypress: equal
43.6694 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=2
43.6870 	EXP 	feedback
44.5861 	DATA 	Keypress: equal
45.5864 	DATA 	Keypress: equal
46.5872 	DATA 	Keypress: equal
46.6903 	EXP 	stim presentation for duration 1.000. feedback duration 3.000
47.4732 	DATA 	Keypress: 1
47.4879 	EXP 	stim select
47.5861 	DATA 	Keypress: equal
47.6903 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=3
47.7055 	EXP 	feedback
48.5850 	DATA 	Keypress: equal
49.5850 	DATA 	Keypress: equal
50.5848 	DATA 	Keypress: equal
50.7102 	EXP 	stim presentation for duration 3.000. feedback duration 4.000
51.2535 	DATA 	Keypress: 1
51.2614 	EXP 	stim select
51.5850 	DATA 	Keypress: equal
52.5851 	DATA 	Keypress: equal
53.5849 	DATA 	Keypress: equal
53.7104 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=4
53.7242 	EXP 	feedback
54.5849 	DATA 	Keypress: equal
55.5849 	DATA 	Keypress: equal
56.5850 	DATA 	Keypress: equal
57.5850 	DATA 	Keypress: equal
57.7335 	EXP 	stim presentation for duration 1.000. feedback duration 4.000
58.4031 	DATA 	Keypress: 1
58.4092 	EXP 	stim select
58.5852 	DATA 	Keypress: equal
58.7337 	EXP 	Hampton2006: Action=1 State=1 Rewarded=False CorrectCount=5
58.7428 	EXP 	feedback
59.5852 	DATA 	Keypress: equal
60.5850 	DATA 	Keypress: equal
61.5851 	DATA 	Keypress: equal
62.5850 	DATA 	Keypress: equal
62.7539 	EXP 	stim presentation for duration 1.000. feedback duration 3.000
63.5851 	DATA 	Keypress: equal
63.7636 	EXP 	no response
63.7853 	DATA 	Keypress: 2
64.5850 	DATA 	Keypress: equal
65.5850 	DATA 	Keypress: equal
66.5853 	DATA 	Keypress: equal
66.7731 	EXP 	stim presentation for duration 3.000. feedback duration 2.000
67.5851 	DATA 	Keypress: equal
68.3985 	DATA 	Keypress: 1
68.4078 	EXP 	stim select
68.5852 	DATA 	Keypress: equal
69.5851 	DATA 	Keypress: equal
69.7732 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=6
69.7732 	EXP 	Hampton2006: Reversal
69.7814 	EXP 	feedback
70.5852 	DATA 	Keypress: equal
71.5851 	DATA 	Keypress: equal
71.7947 	EXP 	stim presentation for duration 3.000. feedback duration 3.000
72.5862 	DATA 	Keypress: equal
73.0202 	DATA 	Keypress: 1
73.0280 	EXP 	stim select
73.5841 	DATA 	Keypress: equal
74.5842 	DATA 	Keypress: equal
74.7949 	EXP 	Hampton2006: Action=1 State=0 Rewarded=False CorrectCount=0
74.8138 	EXP 	feedback
75.5841 	DATA 	Keypress: equal
76.5845 	DATA 	Keypress: equal
77.5841 	DATA 	Keypress: equal
77.8189 	EXP 	stim presentation for duration 2.000. feedback duration 4.000
78.3553 	DATA 	Keypress: 1
78.3660 	EXP 	stim select
78.5840 	DATA 	Keypress: equal
79.5842 	DATA 	Keypress: equal
79.8190 	EXP 	Hampton2006: Action=1 State=0 Rewarded=True CorrectCount=0
79.8337 	EXP 	feedback
80.5844 	DATA 	Keypress: equal
81.5842 	DATA 	Keypress: equal
82.5840 	DATA 	Keypress: equal
83.5842 	DATA 	Keypress: equal
83.8387 	EXP 	stim presentation for duration 1.000. feedback duration 4.000
84.5841 	DATA 	Keypress: equal
84.8545 	EXP 	no response
85.5841 	DATA 	Keypress: equal
86.5841 	DATA 	Keypress: equal
87.5841 	DATA 	Keypress: equal
88.5842 	DATA 	Keypress: equal
88.8746 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
89.4181 	DATA 	Keypress: 1
89.4244 	EXP 	stim select
89.5842 	DATA 	Keypress: equal
90.5839 	DATA 	Keypress: equal
90.8747 	EXP 	Hampton2006: Action=1 State=0 Rewarded=False CorrectCount=0
90.8922 	EXP 	feedback
91.5842 	DATA 	Keypress: equal
92.5841 	DATA 	Keypress: equal
93.5841 	DATA 	Keypress: equal
93.9108 	EXP 	stim presentation for duration 2.000. feedback duration 4.000
94.5841 	DATA 	Keypress: equal
94.6851 	DATA 	Keypress: 2
94.6944 	EXP 	stim select
95.5840 	DATA 	Keypress: equal
95.9110 	EXP 	Hampton2006: Action=1 State=0 Rewarded=False CorrectCount=0
95.9282 	EXP 	feedback
96.5840 	DATA 	Keypress: equal
97.5843 	DATA 	Keypress: equal
98.5842 	DATA 	Keypress: equal
99.5830 	DATA 	Keypress: equal
99.9332 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
100.5832 	DATA 	Keypress: equal
100.6623 	DATA 	Keypress: 1
100.6662 	EXP 	stim select
101.5831 	DATA 	Keypress: equal
101.9334 	EXP 	Hampton2006: Action=0 State=0 Rewarded=False CorrectCount=1
101.9472 	EXP 	feedback
102.5838 	DATA 	Keypress: equal
103.5832 	DATA 	Keypress: equal
104.5833 	DATA 	Keypress: equal
104.9539 	EXP 	stim presentation for duration 1.000. feedback duration 4.000
105.5831 	DATA 	Keypress: equal
105.9655 	EXP 	no response
106.5833 	DATA 	Keypress: equal
